OMC_FLYWHEEL_TABLE,OMC_FLYWHEEL_COLUMN,FUNCTION_DESCRIPTION
IBE_01,ibe2025,"Super Category - Automotive
IBE_01,ibe2026,Super Category - Books and Music
IBE_01,ibe2029,Super Category - Food and Beverage
IBE_01,ibe2030,Super Category - Health and Beauty
IBE_01,ibe2031,Super Category - Home Furnishing
IBE_01,ibe2033,Category - Music
IBE_01,ibe2058_01,Credit Card Use - American Express - Premium
IBE_01,ibe2058_02,Credit Card Use - American Express - Regular
IBE_01,ibe2059_01,Credit Card Use - Discover - Premium
IBE_01,ibe2059_02,Credit Card Use - Discover - Regular
IBE_01,ibe2060_01,Credit Card Use - Gasoline or Retail Card - Premium
IBE_01,ibe2060_02,Credit Card Use - Gasoline or Retail Card - Regular
IBE_01,ibe2061_01,Credit Card Use - Mastercard - Premium
IBE_01,ibe2061_02,Credit Card Use - Mastercard - Regular
IBE_01,ibe2062_01,Credit Card Use - Visa - Premium
IBE_01,ibe2062_02,Credit Card Use - Visa - Regular
IBE_01,ibe2076_01,Causes Supported Financially - Charitable
IBE_01,ibe2076_02,Causes Supported Financially - Animal Welfare
IBE_01,ibe2076_03,Causes Supported Financially - Arts or Cultural
IBE_01,ibe2076_04,Causes Supported Financially - Childrens
IBE_01,ibe2076_05,Causes Supported Financially - Environment or Wildlife
IBE_01,ibe2076_06,Causes Supported Financially - Health
IBE_01,ibe2076_07,Causes Supported Financially - International Aid
IBE_01,ibe2076_08,Causes Supported Financially - Political
IBE_01,ibe2076_09,Causes Supported Financially - Politically Conservative
IBE_01,ibe2076_10,Causes Supported Financially - Politically Liberal
IBE_01,ibe2076_11,Causes Supported Financially - Religious
IBE_01,ibe2076_12,Causes Supported Financially - Veterans
IBE_01,ibe2076_13,Causes Supported Financially - Other
IBE_01,ibe2077,Auto Enthusiast
IBE_01,ibe2100,Ethnic Group
IBE_01,ibe2205,Health - Homeopathic Interest in Household
IBE_01,ibe2350,Business Owner
IBE_01,ibe2351,Single Parent
IBE_01,ibe2354,Life Insurance Policy Owner
IBE_01,ibe2356,Veteran
IBE_01,ibe2360,Occupation - Detail - Person
IBE_01,ibe2403_01,Geo Federal Congressional District Code
IBE_01,ibe2404_01,Geo State Upper House District Code
IBE_01,ibe2405_01,Geo State Lower House District Code
IBE_01,ibe2507_01,Business Travel - Domestic - Have Taken
IBE_01,ibe2507_02,Business Travel - Domestic - Would Enjoy
IBE_01,ibe2524_01,Vacation Travel - Cruise - Have Taken
IBE_01,ibe2524_02,Vacation Travel - Cruise - Would Enjoy
IBE_01,ibe2526,Inferred Household Rank
IBE_01,ibe2527,Vacation Travel - Leisure
IBE_01,ibe2529,Vacation Travel - RV
IBE_01,ibe2532_01,Vacation Travel - United States - Have Taken
IBE_01,ibe2532_02,Vacation Travel - United States - Would Enjoy
IBE_01,ibe2776,Green Living
IBE_01,ibe2800,Investors - Stocks Bonds - Plus
IBE_01,ibe2807,Business Owner - Person
IBE_01,ibe2810,Entering Adulthood - Person
IBE_01,ibe2834,Affordability
IBE_01,ibe2901_01,Economic Assessment - ITA Index - Zip+4 Aggregate
IBE_01,ibe2901_02,Economic Assessment - ITA Index - Zip+4 Aggregate - Precision Level
IBE_01,ibe2902_01,Economic Assessment - ITA Score - Zip+4 Aggregate
IBE_01,ibe2902_02,Economic Assessment - ITA Score - Zip+4 Aggregate - Precision Level
IBE_01,ibe2903_01,Economic Assessment - Revolving Bank Card Balance Index - Zip+4 Aggregate
IBE_01,ibe2903_02,Economic Assessment - Revolving Bank Card Balance Index - Zip+4 Aggregate - Precision Level
IBE_01,ibe2904_01,Economic Assessment - Revolving Bank Card Balance Range - Zip+4 Aggregate
IBE_01,ibe2904_02,Economic Assessment - Revolving Bank Card Balance Range - Zip+4 Aggregate - Precision Level
IBE_01,ibe2905_01,Economic Assessment - Bank Card Utilization Index - Zip+4 Aggregate
IBE_01,ibe2905_02,Economic Assessment - Bank Card Utilization Index - Zip+4 Aggregate - Precision Level
IBE_01,ibe2906_01,Economic Assessment - Bank Card Utilization Rate - Zip+4 Aggregate
IBE_01,ibe2906_02,Economic Assessment - Bank Card Utilization Rate - Zip+4 Aggregate - Precision Level
IBE_01,ibe2907_01,Economic Assessment - Bank Card Utilization Rate Range - Zip+4 Aggregate
IBE_01,ibe2907_02,Economic Assessment - Bank Card Utilization Rate Range - Zip+4 Aggregate - Precision Level
IBE_01,ibe2908_01,Economic Assessment - Open Auto Loans Index - Zip+4 Aggregate
IBE_01,ibe2908_02,Economic Assessment - Open Auto Loans Index - Zip+4 Aggregate - Precision Level
IBE_01,ibe2909_01,Economic Assessment - Open Auto Loans Range - Zip+4 Aggregate
IBE_01,ibe2909_02,Economic Assessment - Open Auto Loans Range - Zip+4 Aggregate - Precision Level
IBE_01,ibe2910_01,Economic Assessment - Newest Auto Loan Recency Index - Zip+4 Aggregate
IBE_01,ibe2910_02,Economic Assessment - Newest Auto Loan Recency Index - Zip+4 Aggregate - Precision Level
IBE_01,ibe2911_01,Economic Assessment - Newest Auto Loan Recency Range - Zip+4 Aggregate
IBE_01,ibe2911_02,Economic Assessment - Newest Auto Loan Recency Range - Zip+4 Aggregate - Precision Level
IBE_01,ibe2912_01,Economic Assessment - Mortgage Loan Balance Range - Zip+4 Aggregate
IBE_01,ibe2913_01,Economic Assessment - Mortgage Loan Original Balance Range - Zip+4 Aggregate
IBE_01,ibe2914_01,Economic Assessment - Newest Mortgage Loan Recency Range - Zip+4 Aggregate
IBE_01,ibe2915_01,Economic Assessment - Mortgage Loan Remaining Balance Range - Zip+4 Aggregate
IBE_01,ibe2916_01,Economic Assessment - Households with Open Mortgage Loan Range - Zip+4 Aggregate
IBE_01,ibe2917_01,Economic Assessment - Student Loan Balance Range - Zip+4 Aggregate
IBE_01,ibe2918_01,Economic Assessment - Newest Student Loan Recency Range - Zip+4 Aggregate
IBE_01,ibe2919_01,Economic Assessment - Households with Open Student Loan Range - Zip+4 Aggregate
IBE_01_A,customer_user_id,Customer User ID
IBE_01_A,ibe3101,Race Code (Low Detail)
IBE_01_A,ibe3102,Country of Origin (High Detail)
IBE_01_A,ibe3501,Buying Activity - Number of Orders - Total Last 1 Year
IBE_01_A,ibe3502,Buying Activity - Number of Orders - Total Last 2 Years
IBE_01_A,ibe3503,Buying Activity - Number of Orders - Total Last 5 Years
IBE_01_A,ibe3504,Buying Activity - Dollars Spent - Total Last 1 Year
IBE_01_A,ibe3505,Buying Activity - Dollars Spent - Total Last 2 Years
IBE_01_A,ibe3506,Buying Activity - Dollars Spent - Payment Type - Credit Card - Last 1 Year
IBE_01_A,ibe3507,Buying Activity - Dollars Spent - Payment Type - Credit Card - Last 2 Years
IBE_01_A,ibe3508,Buying Activity - Weeks Since Last Order
IBE_01_A,ibe3509,Buying Activity - Number of Returns - Last 5 Years
IBE_01_A,ibe3510,Buying Activity - Weeks Since Last Order - Under $50 Range
IBE_01_A,ibe3511,Buying Activity - Weeks Since Last Order - $50 - 99 Range
IBE_01_A,ibe3512,Buying Activity - Weeks Since Last Order - $100 - 249 Range
IBE_01_A,ibe3513,Buying Activity - Weeks Since Last Order - $250 - 499 Range
IBE_01_A,ibe3514,Buying Activity - Weeks Since Last Order - $500 - 999 Range
IBE_01_A,ibe3515,"Buying Activity - Weeks Since Last Order - $1
IBE_01_A,ibe3516,Buying Activity - Weeks Since Last Online Order
IBE_01_A,ibe3517,Buying Activity - Weeks Since Last Offline Order
IBE_01_A,ibe3518,Buying Activity - Number of Orders - Broadcast Promotions
IBE_01_A,ibe3519,Buying Activity- Number of Orders - Direct Mail Promotions
IBE_01_A,ibe3520,Buying Activity - Number of Orders - Email Promotions
IBE_01_A,ibe3521,Buying Activity - Number of Orders - Insert Promotions
IBE_01_A,ibe3522,Buying Activity - Number of Orders - Internet Promotions
IBE_01_A,ibe3523,Buying Activity - Number of Orders - Pets & Animals
IBE_01_A,ibe3524,Buying Activity - Number of Orders - Apparel
IBE_01_A,ibe3525,Buying Activity - Number of Orders - Home Office
IBE_01_A,ibe3526,Buying Activity - Number of Orders - Children Related Products
IBE_01_A,ibe3527,Buying Activity - Number of Orders - Collectibles
IBE_01_A,ibe3528,Buying Activity - Number of Orders - Cooking
IBE_01_A,ibe3529,Buying Activity - Number of Orders - Beauty
IBE_01_A,ibe3531,Buying Activity - Number of Orders - Educational Materials
IBE_01_A,ibe3533,Buying Activity - Number of Orders - Fiction
IBE_01_A,ibe3534,Buying Activity - Number of Orders - Fitness & Exercise
IBE_01_A,ibe3535,Buying Activity - Number of Orders - Food & Beverage
IBE_01_A,ibe3536,Buying Activity - Number of Orders - Garden
IBE_01_A,ibe3537,Buying Activity - Number of Orders - General Magazines
IBE_01_A,ibe3538,Buying Activity - Number of Orders - Health
IBE_01_A,ibe3539,Buying Activity - Number of Orders - DIY
IBE_01_A,ibe3540,Buying Activity - Number of Orders - History
IBE_01_A,ibe3541,Buying Activity - Number of Orders - Hobbies
IBE_01_A,ibe3542,Buying Activity - Number of Orders - Holiday Items
IBE_01_A,ibe3543,Buying Activity - Number of Orders - Home Décor
IBE_01_A,ibe3545,Buying Activity - Number of Orders - Jewelry
IBE_01_A,ibe3546,Buying Activity - Number of Orders - Lifestyle
IBE_01_A,ibe3547,Buying Activity - Number of Orders - Apparel - Men's - General
IBE_01_A,ibe3548,Buying Activity - Number of Orders - Finance
IBE_01_A,ibe3549,Buying Activity - Number of Orders - Mystery
IBE_01_A,ibe3551,Buying Activity - Number of Orders - Politics
IBE_01_A,ibe3553,Buying Activity - Number of Orders - Reference
IBE_01_A,ibe3556,Buying Activity - Number of Orders - Science & Nature
IBE_01_A,ibe3558,Buying Activity - Number of Orders - Travel & Vacation
IBE_01_A,ibe3559,Buying Activity - Number of Orders - Women's Fashion
IBE_01_A,ibe3560,Buying Activity - Weeks Since Last Order - Pets & Animals
IBE_01_A,ibe3561,Buying Activity - Weeks Since Last Order - Apparel
IBE_01_A,ibe3562,Buying Activity - Weeks Since Last Order - Home Office
IBE_01_A,ibe3563,Buying Activity - Weeks Since Last Order - Children Related Products
IBE_01_A,ibe3564,Buying Activity - Weeks Since Last Order - Collectibles
IBE_01_A,ibe3565,Buying Activity - Weeks Since Last Order - Cooking
IBE_01_A,ibe3566,Buying Activity - Weeks Since Last Order - Beauty
IBE_01_A,ibe3568,Buying Activity - Weeks Since Last Order - Educational Materials
IBE_01_A,ibe3570,Buying Activity - Weeks Since Last Order - Fiction
IBE_01_A,ibe3571,Buying Activity - Weeks Since Last Order - Fitness & Exercise
IBE_01_A,ibe3572,Buying Activity - Weeks Since Last Order - Food & Beverage
IBE_02,customer_user_id,Customer User ID
IBE_02,ibe3573,Buying Activity - Weeks Since Last Order - Garden
IBE_02,ibe3574,Buying Activity - Weeks Since Last Order - General Magazines
IBE_02,ibe3575,Buying Activity - Weeks Since Last Order - Health
IBE_02,ibe3576,Buying Activity - Weeks Since Last Order - DIY
IBE_02,ibe3577,Buying Activity - Weeks Since Last Order - History
IBE_02,ibe3578,Buying Activity - Weeks Since Last Order - Hobbies
IBE_02,ibe3579,Buying Activity - Weeks Since Last Order - Holiday Items
IBE_02,ibe3580,Buying Activity - Weeks Since Last Order - Home Décor
IBE_02,ibe3582,Buying Activity - Weeks Since Last Order - Jewelry
IBE_02,ibe3583,Buying Activity - Weeks Since Last Order - Lifestyle
IBE_02,ibe3584,Buying Activity - Weeks Since Last Order - Apparel - Men's - General
IBE_02,ibe3585,Buying Activity - Weeks Since Last Order - Finance
IBE_02,ibe3586,Buying Activity - Weeks Since Last Order - Mystery
IBE_02,ibe3588,Buying Activity - Weeks Since Last Order - Politics
IBE_02,ibe3590,Buying Activity - Weeks Since Last Order - Reference
IBE_02,ibe3593,Buying Activity - Weeks Since Last Order - Science & Nature
IBE_02,ibe3595,Buying Activity - Weeks Since Last Order - Travel & Vacation
IBE_02,ibe3596,Buying Activity - Weeks Since Last Order - Women's Fashion
IBE_02,ibe3597,Buying Activity - Dollars - Pets & Animals
IBE_02,ibe3598,Buying Activity - Dollars - Apparel
IBE_02,ibe3599,Buying Activity - Dollars - Home Office
IBE_02,ibe3600,Buying Activity - Dollars - Beauty
IBE_02,ibe3601,Buying Activity - Dollars - Children Related Products
IBE_02,ibe3602,Buying Activity - Dollars - Collectibles
IBE_02,ibe3603,Buying Activity - Dollars - Cooking
IBE_02,ibe3605,Buying Activity - Dollars - Educational Materials
IBE_02,ibe3607,Buying Activity - Dollars - Fiction
IBE_02,ibe3608,Buying Activity - Dollars - Fitness & Exercise
IBE_02,ibe3609,Buying Activity - Dollars - Food & Beverage
IBE_02,ibe3610,Buying Activity - Dollars - Garden
IBE_02,ibe3611,Buying Activity - Dollars - Magazines
IBE_02,ibe3612,Buying Activity - Dollars - Health
IBE_02,ibe3613,Buying Activity - Dollars - DIY
IBE_02,ibe3614,Buying Activity - Dollars - History
IBE_02,ibe3615,Buying Activity - Dollars - Hobbies
IBE_02,ibe3616,Buying Activity - Dollars - Holiday Items
IBE_02,ibe3617,Buying Activity - Dollars - Home Décor
IBE_02,ibe3619,Buying Activity - Dollars - Jewelry
IBE_02,ibe3620,Buying Activity - Dollars - Lifestyle
IBE_02,ibe3621,Buying Activity - Dollars - Apparel - Men's
IBE_02,ibe3622,Buying Activity - Dollars - Finance
IBE_02,ibe3623,Buying Activity - Dollars - Mystery
IBE_02,ibe3625,Buying Activity - Dollars - Politics
IBE_02,ibe3627,Buying Activity - Dollars - Reference
IBE_02,ibe3630,Buying Activity - Dollars - Science & Nature
IBE_02,ibe3632,Buying Activity - Dollars - Travel & Vacation
IBE_02,ibe3633,Buying Activity - Dollars - Women's Fashion
IBE_02,ibe3634,Buying Activity - Number of Orders - Payment Type - Cash
IBE_02,ibe3635,Buying Activity - Number of Orders - Payment Type- Credit Card
IBE_02,ibe3636,Buying Activity - Number of Orders in 01 January
IBE_02,ibe3637,Buying Activity - Number of Orders in 02 February
IBE_02,ibe3638,Buying Activity - Number of Orders in 03 March
IBE_02,ibe3639,Buying Activity - Number of Orders in 04 April
IBE_02,ibe3640,Buying Activity - Number of Orders in 05 May
IBE_02,ibe3641,Buying Activity - Number of Orders in 06 June
IBE_02,ibe3642,Buying Activity - Number of Orders in 07 July
IBE_02,ibe3643,Buying Activity - Number of Orders in 08 August
IBE_02,ibe3644,Buying Activity - Number of Orders in 09 September
IBE_02,ibe3645,Buying Activity - Number of Orders in 10 October
IBE_02,ibe3646,Buying Activity - Number of Orders in 11 November
IBE_02,ibe3647,Buying Activity - Number of Orders in 12 December
IBE_02,ibe3648,Buying Activity - Average Dollar Amount Per Order
IBE_02,ibe3649,Buying Activity - Offline Average Dollars Spent Per Order
IBE_02,ibe3650,Buying Activity - Online Average Dollar Amount Per Order
IBE_02,ibe3651,Buying Activity - Purchased in 01 January
IBE_02,ibe3652,Buying Activity - Purchased in 02 February
IBE_02,ibe3653,Buying Activity - Purchased in 03 March
IBE_02,ibe3654,Buying Activity - Purchased in 04 April
IBE_02,ibe3655,Buying Activity - Purchased in 05 May
IBE_02,ibe3656,Buying Activity - Purchased in 06 June
IBE_02,ibe3657,Buying Activity - Purchased in 07 July
IBE_02,ibe3658,Buying Activity - Purchased in 08 August
IBE_02,ibe3659,Buying Activity - Purchased in 09 September
IBE_02,ibe3660,Buying Activity - Purchased in 10 October
IBE_02,ibe3661,Buying Activity - Purchased in 11 November
IBE_02,ibe3662,Buying Activity - Purchased in 12 December
IBE_02,ibe3663,Buying Activity - Total Offline Dollars
IBE_02,ibe3664,Buying Activity - Total Offline Orders
IBE_02,ibe3665,Buying Activity - Total Offline Orders - Under $50 Range
IBE_02,ibe3666,Buying Activity - Total Offline Orders - $50-$99.99 Range
IBE_02,ibe3667,Buying Activity - Total Offline Orders - $100-$249.99 Range
IBE_02,ibe3668,Buying Activity - Total Offline Orders - $250-$499.99 Range
IBE_02,ibe3669,Buying Activity - Total Offline Orders - $500-$999.99 Range
IBE_02,ibe3670,"Buying Activity - Total Offline Orders - $1
IBE_02,ibe3671,Buying Activity - Total Online Dollars
IBE_02,ibe3672,Buying Activity - Total Online Orders
IBE_02,ibe3673,Buying Activity - Total Online Orders - Under $50 Range
IBE_02,ibe3674,Buying Activity - Total Online Orders - $50-$99.99 Range
IBE_02,ibe3675,Buying Activity - Total Online Orders - $100-$249.99 Range
IBE_02,ibe3676,Buying Activity - Total Online Orders - $250-$499.99 Range
IBE_02,ibe3677,Buying Activity - Total Online Orders - $500-$999.99 Range
IBE_02,ibe3678,"Buying Activity - Total Online Orders - $1
IBE_02_A,customer_user_id,Customer User ID
IBE_02_A,ibe3679,Buying Activity - Pets & Animals
IBE_02_A,ibe3680,Buying Activity - Apparel
IBE_02_A,ibe3681,Buying Activity - Home Office
IBE_02_A,ibe3682,Buying Activity - Children Related Products
IBE_02_A,ibe3683,Buying Activity - Collectibles
IBE_02_A,ibe3684,Buying Activity - Cooking
IBE_02_A,ibe3685,Buying Activity - Beauty
IBE_02_A,ibe3687,Buying Activity - Educational Materials
IBE_02_A,ibe3689,Buying Activity - Fiction
IBE_02_A,ibe3690,Buying Activity - Fitness & Exercise
IBE_02_A,ibe3691,Buying Activity - Food & Beverage
IBE_02_A,ibe3692,Buying Activity - Garden
IBE_02_A,ibe3693,Buying Activity - General Magazines
IBE_02_A,ibe3694,Buying Activity - Health
IBE_02_A,ibe3695,Buying Activity - DIY
IBE_02_A,ibe3696,Buying Activity - History
IBE_02_A,ibe3697,Buying Activity - Hobbies
IBE_02_A,ibe3698,Buying Activity - Holiday Items
IBE_02_A,ibe3699,Buying Activity - Home Décor
IBE_02_A,ibe3701,Buying Activity - Jewelry
IBE_02_A,ibe3702,Buying Activity - Lifestyle
IBE_02_A,ibe3703,Buying Activity - Apparel - Men's - General
IBE_02_A,ibe3704,Buying Activity - Finance
IBE_02_A,ibe3705,Buying Activity - Mystery
IBE_02_A,ibe3707,Buying Activity - Politics
IBE_02_A,ibe3709,Buying Activity - Reference
IBE_02_A,ibe3712,Buying Activity - Science & Nature
IBE_02_A,ibe3714,Buying Activity - Travel & Vacation
IBE_02_A,ibe3715,Buying Activity - Women's Fashion
IBE_02_A,ibe3716,Buying Activity - Total Online Dollars - Person
IBE_02_A,ibe3717,Buying Activity - Total Online Orders - Person
IBE_02_A,ibe3718,Buying Activity - Online Average Dollar Amount Per Order - Person
IBE_02_A,ibe3719,Buying Activity - Weeks Since Last Online Order - Person
IBE_02_A,ibe3720,Buying Activity - Number of Orders - Electronics 
IBE_02_A,ibe3721,Buying Activity - Weeks Since Last Order - Electronics 
IBE_02_A,ibe3722,Buying Activity - Dollars - Electronics 
IBE_02_A,ibe3723,Buying Activity - Electronics 
IBE_02_A,ibe3724,Buying Activity - Number of Orders - Footwear
IBE_02_A,ibe3725,Buying Activity - Weeks Since Last Order - Footwear
IBE_02_A,ibe3726,Buying Activity - Dollars - Footwear 
IBE_02_A,ibe3727,Buying Activity - Footwear
IBE_02_A,ibe3728,Buying Activity - Number of Orders - Auto 
IBE_02_A,ibe3729,Buying Activity - Weeks Since Last Order - Auto 
IBE_02_A,ibe3730,Buying Activity - Dollars - Auto 
IBE_02_A,ibe3731,Buying Activity - Auto 
IBE_02_A,ibe3732,Buying Activity - Number of Orders - Warranty 
IBE_02_A,ibe3733,Buying Activity - Weeks Since Last Order - Warranty 
IBE_02_A,ibe3734,Buying Activity - Dollars - Warranty 
IBE_02_A,ibe3735,Buying Activity - Warranty 
IBE_02_A,ibe3736,Buying Activity - Number of Orders - Apparel Accessories 
IBE_02_A,ibe3737,Buying Activity - Weeks Since Last Order - Apparel Accessories 
IBE_02_A,ibe3738,Buying Activity - Dollars - Apparel Accessories 
IBE_02_A,ibe3739,Buying Activity - Apparel Accessories 
IBE_02_A,ibe3740,Buying Activity - Number of Orders – Humanitarian Aid/Donations 
IBE_02_A,ibe3741,Buying Activity - Weeks Since Last Order - Humanitarian Aid/Donations 
IBE_02_A,ibe3742,Buying Activity - Dollars - Humanitarian Aid/Donations 
IBE_02_A,ibe3743,Buying Activity - Humanitarian Aid/Donations 
IBE_02_A,ibe3744,Buying Activity - Number of Orders - Furniture 
IBE_02_A,ibe3745,Buying Activity - Weeks Since Last Order - Furniture 
IBE_02_A,ibe3746,Buying Activity - Dollars - Furniture 
IBE_02_A,ibe3747,Buying Activity - Furniture 
IBE_02_A,ibe3748,Buying Activity - Number of Orders – Outdoor Accessories/Furniture 
IBE_02_A,ibe3749,Buying Activity - Weeks Since Last Order - Outdoor Accessories/Furniture 
IBE_02_A,ibe3750,Buying Activity - Dollars - Outdoor Accessories/Furniture 
IBE_02_A,ibe3751,Buying Activity - Outdoor Accessories/Furniture 
IBE_02_A,ibe3752,Buying Activity - Number of Orders - Linens 
IBE_02_A,ibe3753,Buying Activity - Weeks Since Last Order - Linens 
IBE_02_A,ibe3754,Buying Activity - Dollars - Linens 
IBE_02_A,ibe3755,Buying Activity - Linens 
IBE_02_A,ibe3756,Buying Activity - Number of Orders – Household Goods 
IBE_02_A,ibe3757,Buying Activity - Weeks Since Last Order - Household Goods 
IBE_02_A,ibe3758,Buying Activity - Dollars - Household Goods 
IBE_02_A,ibe3759,Buying Activity - Household Goods 
IBE_02_A,ibe3760,Buying Activity - Number of Orders – Health Supplements 
IBE_02_A,ibe3761,Buying Activity - Weeks Since Last Order - Health Supplements 
IBE_02_A,ibe3762,Buying Activity - Dollars - Health Supplements 
IBE_02_A,ibe3763,Buying Activity - Health Supplements 
IBE_02_A,ibe3804,Ethnic Group - Person
IBE_02_A,ibe3805,Race Code (Low Detail) - Person
IBE_02_A,ibe3806,Country of Origin (High Detail) - Person
IBE_02_A,ibe3807,Hispanic Language Preference - Person
IBE_02_A,ibe4100,Consumer Prominence Indicator - Person
IBE_02_A,ibe4101,Consumer Prominence Indicator - Household
IBE_02_A,ibe4102,Consumer Prominence Indicator - Residency
IBE_03,customer_user_id,Customer User ID
IBE_03,ibe6138,Apparel - General
IBE_03,ibe6142,Category - Apparel - Women's - Plus Sizes
IBE_03,ibe6143,Super Category - Apparel - General
IBE_03,ibe6145,"Super Category - Appliances
IBE_03,ibe6149,Art
IBE_03,ibe6151,Category - Arts and Antiques - Art
IBE_03,ibe6152,Collectibles - Arts and Antiques - General
IBE_03,ibe6154,Automotive Assessories/Parts/Supplies/Cleaners
IBE_03,ibe6155,Automotive Accessories
IBE_03,ibe6156,Automotive Accessories/Parts
IBE_03,ibe6157,Automotive Parts/Supplies
IBE_03,ibe6197,Books - General
IBE_03,ibe6200,Category - Books and Magazines - Music Books
IBE_03,ibe6253,Children's Products - General
IBE_03,ibe6269,Collectibles - Dolls
IBE_03,ibe6294,Crafts/Hobbies - General
IBE_03,ibe6314,Category - DVDs/Videos
IBE_03,ibe6317,Electronics
IBE_03,ibe6329,Category - Electronics and Computing - Software
IBE_03,ibe6331,"Super Category - Electronics
IBE_03,ibe6358,Fishing Supplies
IBE_03,ibe6362,Food/Beverages
IBE_03,ibe6379,Gardening Supplies
IBE_03,ibe6380,Category - Gardening
IBE_03,ibe6398,Super Category - Gifts/Holiday Items
IBE_03,ibe6422,Golfing Equipment and Gifts
IBE_03,ibe6425,Health and Beauty
IBE_03,ibe6456,Super Category - Children's Products - General
IBE_03,ibe6503,Home Furnishings - General
IBE_03,ibe6504,Category - Home Furnishings
IBE_03,ibe6537,Category - Lifestyle - Interests and Passions - Collectibles
IBE_03,ibe6538,Category - Lifestyle - Interests and Passionsrafts/Hobbies
