OMC_FLYWHEEL_TABLE,OMC_FLYWHEEL_COLUMN,FUNCTION_DESCRIPTION,OPUS_COLUMN,ELEMENT_NUMBER
IBE_01,ibe2905_02,Economic Assessment - Bank Card Utilization Index - Zip+4 Aggregate - Precision Level,IBE2905_02,2905_02
IBE_01,ibe2906_01,Economic Assessment - Bank Card Utilization Rate - Zip+4 Aggregate,IBE2906_01,2906_01
IBE_01,ibe2906_02,Economic Assessment - Bank Card Utilization Rate - Zip+4 Aggregate - Precision Level,IBE2906_02,2906_02
IBE_01,ibe2907_01,Economic Assessment - Bank Card Utilization Rate Range - Zip+4 Aggregate,IBE2907_01,2907_01
IBE_01,ibe2907_02,Economic Assessment - Bank Card Utilization Rate Range - Zip+4 Aggregate - Precision Level,IBE2907_02,2907_02
IBE_01,ibe2908_01,Economic Assessment - Open Auto Loans Index - Zip+4 Aggregate,IBE2908_01,2908_01
IBE_01,ibe2908_02,Economic Assessment - Open Auto Loans Index - Zip+4 Aggregate - Precision Level,IBE2908_02,2908_02
IBE_01,ibe2909_01,Economic Assessment - Open Auto Loans Range - Zip+4 Aggregate,IBE2909_01,2909_01
IBE_01,ibe2909_02,Economic Assessment - Open Auto Loans Range - Zip+4 Aggregate - Precision Level,IBE2909_02,2909_02
IBE_01,ibe2910_01,Economic Assessment - Newest Auto Loan Recency Index - Zip+4 Aggregate,IBE2910_01,2910_01
IBE_01,ibe2910_02,Economic Assessment - Newest Auto Loan Recency Index - Zip+4 Aggregate - Precision Level,IBE2910_02,2910_02
IBE_01,ibe2911_01,Economic Assessment - Newest Auto Loan Recency Range - Zip+4 Aggregate,IBE2911_01,2911_01
IBE_01,ibe2911_02,Economic Assessment - Newest Auto Loan Recency Range - Zip+4 Aggregate - Precision Level,IBE2911_02,2911_02
IBE_01,ibe2912_01,Economic Assessment - Mortgage Loan Balance Range - Zip+4 Aggregate,IBE2912_01,2912_01
IBE_01,ibe2913_01,Economic Assessment - Mortgage Loan Original Balance Range - Zip+4 Aggregate,IBE2913_01,2913_01
IBE_01,ibe2914_01,Economic Assessment - Newest Mortgage Loan Recency Range - Zip+4 Aggregate,IBE2914_01,2914_01
IBE_01,ibe2915_01,Economic Assessment - Mortgage Loan Remaining Balance Range - Zip+4 Aggregate,IBE2915_01,2915_01
IBE_01,ibe2916_01,Economic Assessment - Households with Open Mortgage Loan Range - Zip+4 Aggregate,IBE2916_01,2916_01
IBE_01,ibe2917_01,Economic Assessment - Student Loan Balance Range - Zip+4 Aggregate,IBE2917_01,2917_01
IBE_01,ibe2918_01,Economic Assessment - Newest Student Loan Recency Range - Zip+4 Aggregate,IBE2918_01,2918_01
IBE_01,ibe2919_01,Economic Assessment - Households with Open Student Loan Range - Zip+4 Aggregate,IBE2919_01,2919_01
IBE_01_A,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_01_A,ibe3101,Race Code (Low Detail),IBE3101,3101
IBE_01_A,ibe3102,Country of Origin (High Detail),IBE3102,3102
IBE_01_A,ibe3501,Buying Activity - Number of Orders - Total Last 1 Year,IBE3501,3501
IBE_01_A,ibe3502,Buying Activity - Number of Orders - Total Last 2 Years,IBE3502,3502
IBE_01_A,ibe3503,Buying Activity - Number of Orders - Total Last 5 Years,IBE3503,3503
IBE_01_A,ibe3504,Buying Activity - Dollars Spent - Total Last 1 Year,IBE3504,3504
IBE_01_A,ibe3505,Buying Activity - Dollars Spent - Total Last 2 Years,IBE3505,3505
IBE_01_A,ibe3506,Buying Activity - Dollars Spent - Payment Type - Credit Card - Last 1 Year,IBE3506,3506
IBE_01_A,ibe3507,Buying Activity - Dollars Spent - Payment Type - Credit Card - Last 2 Years,IBE3507,3507
IBE_01_A,ibe3508,Buying Activity - Weeks Since Last Order,IBE3508,3508
IBE_01_A,ibe3509,Buying Activity - Number of Returns - Last 5 Years,IBE3509,3509
IBE_01_A,ibe3510,Buying Activity - Weeks Since Last Order - Under $50 Range,IBE3510,3510
IBE_01_A,ibe3511,Buying Activity - Weeks Since Last Order - $50 - 99 Range,IBE3511,3511
IBE_01_A,ibe3512,Buying Activity - Weeks Since Last Order - $100 - 249 Range,IBE3512,3512
IBE_01_A,ibe3513,Buying Activity - Weeks Since Last Order - $250 - 499 Range,IBE3513,3513
IBE_01_A,ibe3514,Buying Activity - Weeks Since Last Order - $500 - 999 Range,IBE3514,3514
IBE_01_A,ibe3515,"Buying Activity - Weeks Since Last Order - $1,000+ Range",IBE3515,3515
IBE_01_A,ibe3516,Buying Activity - Weeks Since Last Online Order,IBE3516,3516
IBE_01_A,ibe3517,Buying Activity - Weeks Since Last Offline Order,IBE3517,3517
IBE_01_A,ibe3518,Buying Activity - Number of Orders - Broadcast Promotions,IBE3518,3518
IBE_01_A,ibe3519,Buying Activity- Number of Orders - Direct Mail Promotions,IBE3519,3519
IBE_01_A,ibe3520,Buying Activity - Number of Orders - Email Promotions,IBE3520,3520
IBE_01_A,ibe3521,Buying Activity - Number of Orders - Insert Promotions,IBE3521,3521
IBE_01_A,ibe3522,Buying Activity - Number of Orders - Internet Promotions,IBE3522,3522
IBE_01_A,ibe3523,Buying Activity - Number of Orders - Pets & Animals,IBE3523,3523
IBE_01_A,ibe3524,Buying Activity - Number of Orders - Apparel,IBE3524,3524
IBE_01_A,ibe3525,Buying Activity - Number of Orders - Home Office,IBE3525,3525
IBE_01_A,ibe3526,Buying Activity - Number of Orders - Children Related Products,IBE3526,3526
IBE_01_A,ibe3527,Buying Activity - Number of Orders - Collectibles,IBE3527,3527
IBE_01_A,ibe3528,Buying Activity - Number of Orders - Cooking,IBE3528,3528
IBE_01_A,ibe3529,Buying Activity - Number of Orders - Beauty,IBE3529,3529
IBE_01_A,ibe3531,Buying Activity - Number of Orders - Educational Materials,IBE3531,3531
IBE_01_A,ibe3533,Buying Activity - Number of Orders - Fiction,IBE3533,3533
IBE_01_A,ibe3534,Buying Activity - Number of Orders - Fitness & Exercise,IBE3534,3534
IBE_01_A,ibe3535,Buying Activity - Number of Orders - Food & Beverage,IBE3535,3535
IBE_01_A,ibe3536,Buying Activity - Number of Orders - Garden,IBE3536,3536
IBE_01_A,ibe3537,Buying Activity - Number of Orders - General Magazines,IBE3537,3537
IBE_01_A,ibe3538,Buying Activity - Number of Orders - Health,IBE3538,3538
IBE_01_A,ibe3539,Buying Activity - Number of Orders - DIY,IBE3539,3539
IBE_01_A,ibe3540,Buying Activity - Number of Orders - History,IBE3540,3540
IBE_01_A,ibe3541,Buying Activity - Number of Orders - Hobbies,IBE3541,3541
IBE_01_A,ibe3542,Buying Activity - Number of Orders - Holiday Items,IBE3542,3542
IBE_01_A,ibe3543,Buying Activity - Number of Orders - Home Décor,IBE3543,3543
IBE_01_A,ibe3545,Buying Activity - Number of Orders - Jewelry,IBE3545,3545
IBE_01_A,ibe3546,Buying Activity - Number of Orders - Lifestyle,IBE3546,3546
IBE_01_A,ibe3547,Buying Activity - Number of Orders - Apparel - Men's - General,IBE3547,3547
IBE_01_A,ibe3548,Buying Activity - Number of Orders - Finance,IBE3548,3548
IBE_01_A,ibe3549,Buying Activity - Number of Orders - Mystery,IBE3549,3549
IBE_01_A,ibe3551,Buying Activity - Number of Orders - Politics,IBE3551,3551
IBE_01_A,ibe3553,Buying Activity - Number of Orders - Reference,IBE3553,3553
IBE_01_A,ibe3556,Buying Activity - Number of Orders - Science & Nature,IBE3556,3556
IBE_01_A,ibe3558,Buying Activity - Number of Orders - Travel & Vacation,IBE3558,3558
IBE_01_A,ibe3559,Buying Activity - Number of Orders - Women's Fashion,IBE3559,3559
IBE_01_A,ibe3560,Buying Activity - Weeks Since Last Order - Pets & Animals,IBE3560,3560
IBE_01_A,ibe3561,Buying Activity - Weeks Since Last Order - Apparel,IBE3561,3561
IBE_01_A,ibe3562,Buying Activity - Weeks Since Last Order - Home Office,IBE3562,3562
IBE_01_A,ibe3563,Buying Activity - Weeks Since Last Order - Children Related Products,IBE3563,3563
IBE_01_A,ibe3564,Buying Activity - Weeks Since Last Order - Collectibles,IBE3564,3564
IBE_01_A,ibe3565,Buying Activity - Weeks Since Last Order - Cooking,IBE3565,3565
IBE_01_A,ibe3566,Buying Activity - Weeks Since Last Order - Beauty,IBE3566,3566
IBE_01_A,ibe3568,Buying Activity - Weeks Since Last Order - Educational Materials,IBE3568,3568
IBE_01_A,ibe3570,Buying Activity - Weeks Since Last Order - Fiction,IBE3570,3570
IBE_01_A,ibe3571,Buying Activity - Weeks Since Last Order - Fitness & Exercise,IBE3571,3571
IBE_01_A,ibe3572,Buying Activity - Weeks Since Last Order - Food & Beverage,IBE3572,3572
IBE_02,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_02,ibe3573,Buying Activity - Weeks Since Last Order - Garden,IBE3573,3573
IBE_02,ibe3574,Buying Activity - Weeks Since Last Order - General Magazines,IBE3574,3574
IBE_02,ibe3575,Buying Activity - Weeks Since Last Order - Health,IBE3575,3575
IBE_02,ibe3576,Buying Activity - Weeks Since Last Order - DIY,IBE3576,3576
IBE_02,ibe3577,Buying Activity - Weeks Since Last Order - History,IBE3577,3577
IBE_02,ibe3578,Buying Activity - Weeks Since Last Order - Hobbies,IBE3578,3578
IBE_02,ibe3579,Buying Activity - Weeks Since Last Order - Holiday Items,IBE3579,3579
IBE_02,ibe3580,Buying Activity - Weeks Since Last Order - Home Décor,IBE3580,3580
IBE_02,ibe3582,Buying Activity - Weeks Since Last Order - Jewelry,IBE3582,3582
IBE_02,ibe3583,Buying Activity - Weeks Since Last Order - Lifestyle,IBE3583,3583
IBE_02,ibe3584,Buying Activity - Weeks Since Last Order - Apparel - Men's - General,IBE3584,3584
IBE_02,ibe3585,Buying Activity - Weeks Since Last Order - Finance,IBE3585,3585
IBE_02,ibe3586,Buying Activity - Weeks Since Last Order - Mystery,IBE3586,3586
IBE_02,ibe3588,Buying Activity - Weeks Since Last Order - Politics,IBE3588,3588
IBE_02,ibe3590,Buying Activity - Weeks Since Last Order - Reference,IBE3590,3590
IBE_02,ibe3593,Buying Activity - Weeks Since Last Order - Science & Nature,IBE3593,3593
IBE_02,ibe3595,Buying Activity - Weeks Since Last Order - Travel & Vacation,IBE3595,3595
IBE_02,ibe3596,Buying Activity - Weeks Since Last Order - Women's Fashion,IBE3596,3596
IBE_02,ibe3597,Buying Activity - Dollars - Pets & Animals,IBE3597,3597
IBE_02,ibe3598,Buying Activity - Dollars - Apparel,IBE3598,3598
IBE_02,ibe3599,Buying Activity - Dollars - Home Office,IBE3599,3599
IBE_02,ibe3600,Buying Activity - Dollars - Beauty,IBE3600,3600
IBE_02,ibe3601,Buying Activity - Dollars - Children Related Products,IBE3601,3601
IBE_02,ibe3602,Buying Activity - Dollars - Collectibles,IBE3602,3602
IBE_02,ibe3603,Buying Activity - Dollars - Cooking,IBE3603,3603
IBE_02,ibe3605,Buying Activity - Dollars - Educational Materials,IBE3605,3605
IBE_02,ibe3607,Buying Activity - Dollars - Fiction,IBE3607,3607
IBE_02,ibe3608,Buying Activity - Dollars - Fitness & Exercise,IBE3608,3608
IBE_02,ibe3609,Buying Activity - Dollars - Food & Beverage,IBE3609,3609
IBE_02,ibe3610,Buying Activity - Dollars - Garden,IBE3610,3610
IBE_02,ibe3611,Buying Activity - Dollars - Magazines,IBE3611,3611
IBE_02,ibe3612,Buying Activity - Dollars - Health,IBE3612,3612
IBE_02,ibe3613,Buying Activity - Dollars - DIY,IBE3613,3613
IBE_02,ibe3614,Buying Activity - Dollars - History,IBE3614,3614
IBE_02,ibe3615,Buying Activity - Dollars - Hobbies,IBE3615,3615
IBE_02,ibe3616,Buying Activity - Dollars - Holiday Items,IBE3616,3616
IBE_02,ibe3617,Buying Activity - Dollars - Home Décor,IBE3617,3617
IBE_02,ibe3619,Buying Activity - Dollars - Jewelry,IBE3619,3619
IBE_02,ibe3620,Buying Activity - Dollars - Lifestyle,IBE3620,3620
IBE_02,ibe3621,Buying Activity - Dollars - Apparel - Men's,IBE3621,3621
IBE_02,ibe3622,Buying Activity - Dollars - Finance,IBE3622,3622
IBE_02,ibe3623,Buying Activity - Dollars - Mystery,IBE3623,3623
IBE_02,ibe3625,Buying Activity - Dollars - Politics,IBE3625,3625
IBE_02,ibe3627,Buying Activity - Dollars - Reference,IBE3627,3627
IBE_02,ibe3630,Buying Activity - Dollars - Science & Nature,IBE3630,3630
IBE_02,ibe3632,Buying Activity - Dollars - Travel & Vacation,IBE3632,3632
IBE_02,ibe3633,Buying Activity - Dollars - Women's Fashion,IBE3633,3633
IBE_02,ibe3634,Buying Activity - Number of Orders - Payment Type - Cash,IBE3634,3634
IBE_02,ibe3635,Buying Activity - Number of Orders - Payment Type- Credit Card,IBE3635,3635
IBE_02,ibe3636,Buying Activity - Number of Orders in 01 January,IBE3636,3636
IBE_02,ibe3637,Buying Activity - Number of Orders in 02 February,IBE3637,3637
IBE_02,ibe3638,Buying Activity - Number of Orders in 03 March,IBE3638,3638
IBE_02,ibe3639,Buying Activity - Number of Orders in 04 April,IBE3639,3639
IBE_02,ibe3640,Buying Activity - Number of Orders in 05 May,IBE3640,3640
IBE_02,ibe3641,Buying Activity - Number of Orders in 06 June,IBE3641,3641
IBE_02,ibe3642,Buying Activity - Number of Orders in 07 July,IBE3642,3642
IBE_02,ibe3643,Buying Activity - Number of Orders in 08 August,IBE3643,3643
IBE_02,ibe3644,Buying Activity - Number of Orders in 09 September,IBE3644,3644
IBE_02,ibe3645,Buying Activity - Number of Orders in 10 October,IBE3645,3645
IBE_02,ibe3646,Buying Activity - Number of Orders in 11 November,IBE3646,3646
IBE_02,ibe3647,Buying Activity - Number of Orders in 12 December,IBE3647,3647
IBE_02,ibe3648,Buying Activity - Average Dollar Amount Per Order,IBE3648,3648
IBE_02,ibe3649,Buying Activity - Offline Average Dollars Spent Per Order,IBE3649,3649
IBE_02,ibe3650,Buying Activity - Online Average Dollar Amount Per Order,IBE3650,3650
IBE_02,ibe3651,Buying Activity - Purchased in 01 January,IBE3651,3651
IBE_02,ibe3652,Buying Activity - Purchased in 02 February,IBE3652,3652
IBE_02,ibe3653,Buying Activity - Purchased in 03 March,IBE3653,3653
IBE_02,ibe3654,Buying Activity - Purchased in 04 April,IBE3654,3654
IBE_02,ibe3655,Buying Activity - Purchased in 05 May,IBE3655,3655
IBE_02,ibe3656,Buying Activity - Purchased in 06 June,IBE3656,3656
IBE_02,ibe3657,Buying Activity - Purchased in 07 July,IBE3657,3657
IBE_02,ibe3658,Buying Activity - Purchased in 08 August,IBE3658,3658
IBE_02,ibe3659,Buying Activity - Purchased in 09 September,IBE3659,3659
IBE_02,ibe3660,Buying Activity - Purchased in 10 October,IBE3660,3660
IBE_02,ibe3661,Buying Activity - Purchased in 11 November,IBE3661,3661
IBE_02,ibe3662,Buying Activity - Purchased in 12 December,IBE3662,3662
IBE_02,ibe3663,Buying Activity - Total Offline Dollars,IBE3663,3663
IBE_02,ibe3664,Buying Activity - Total Offline Orders,IBE3664,3664
IBE_02,ibe3665,Buying Activity - Total Offline Orders - Under $50 Range,IBE3665,3665
IBE_02,ibe3666,Buying Activity - Total Offline Orders - $50-$99.99 Range,IBE3666,3666
IBE_02,ibe3667,Buying Activity - Total Offline Orders - $100-$249.99 Range,IBE3667,3667
IBE_02,ibe3668,Buying Activity - Total Offline Orders - $250-$499.99 Range,IBE3668,3668
IBE_02,ibe3669,Buying Activity - Total Offline Orders - $500-$999.99 Range,IBE3669,3669
IBE_02,ibe3670,"Buying Activity - Total Offline Orders - $1,000+ Range",IBE3670,3670
IBE_02,ibe3671,Buying Activity - Total Online Dollars,IBE3671,3671
IBE_02,ibe3672,Buying Activity - Total Online Orders,IBE3672,3672
IBE_02,ibe3673,Buying Activity - Total Online Orders - Under $50 Range,IBE3673,3673
IBE_02,ibe3674,Buying Activity - Total Online Orders - $50-$99.99 Range,IBE3674,3674
IBE_02,ibe3675,Buying Activity - Total Online Orders - $100-$249.99 Range,IBE3675,3675
IBE_02,ibe3676,Buying Activity - Total Online Orders - $250-$499.99 Range,IBE3676,3676
IBE_02,ibe3677,Buying Activity - Total Online Orders - $500-$999.99 Range,IBE3677,3677
IBE_02,ibe3678,"Buying Activity - Total Online Orders - $1,000+ Range",IBE3678,3678
IBE_02_A,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_02_A,ibe3679,Buying Activity - Pets & Animals,IBE3679,3679
IBE_02_A,ibe3680,Buying Activity - Apparel,IBE3680,3680
IBE_02_A,ibe3681,Buying Activity - Home Office,IBE3681,3681
IBE_02_A,ibe3682,Buying Activity - Children Related Products,IBE3682,3682
IBE_02_A,ibe3683,Buying Activity - Collectibles,IBE3683,3683
IBE_02_A,ibe3684,Buying Activity - Cooking,IBE3684,3684
IBE_02_A,ibe3685,Buying Activity - Beauty,IBE3685,3685
IBE_02_A,ibe3687,Buying Activity - Educational Materials,IBE3687,3687
IBE_02_A,ibe3689,Buying Activity - Fiction,IBE3689,3689
IBE_02_A,ibe3690,Buying Activity - Fitness & Exercise,IBE3690,3690
IBE_02_A,ibe3691,Buying Activity - Food & Beverage,IBE3691,3691
IBE_02_A,ibe3692,Buying Activity - Garden,IBE3692,3692
IBE_02_A,ibe3693,Buying Activity - General Magazines,IBE3693,3693
IBE_02_A,ibe3694,Buying Activity - Health,IBE3694,3694
IBE_02_A,ibe3695,Buying Activity - DIY,IBE3695,3695
IBE_02_A,ibe3696,Buying Activity - History,IBE3696,3696
IBE_02_A,ibe3697,Buying Activity - Hobbies,IBE3697,3697
IBE_02_A,ibe3698,Buying Activity - Holiday Items,IBE3698,3698
IBE_02_A,ibe3699,Buying Activity - Home Décor,IBE3699,3699
IBE_02_A,ibe3701,Buying Activity - Jewelry,IBE3701,3701
IBE_02_A,ibe3702,Buying Activity - Lifestyle,IBE3702,3702
IBE_02_A,ibe3703,Buying Activity - Apparel - Men's - General,IBE3703,3703
IBE_02_A,ibe3704,Buying Activity - Finance,IBE3704,3704
IBE_02_A,ibe3705,Buying Activity - Mystery,IBE3705,3705
IBE_02_A,ibe3707,Buying Activity - Politics,IBE3707,3707
IBE_02_A,ibe3709,Buying Activity - Reference,IBE3709,3709
IBE_02_A,ibe3712,Buying Activity - Science & Nature,IBE3712,3712
IBE_02_A,ibe3714,Buying Activity - Travel & Vacation,IBE3714,3714
IBE_02_A,ibe3715,Buying Activity - Women's Fashion,IBE3715,3715
IBE_02_A,ibe3716,Buying Activity - Total Online Dollars - Person,IBE3716,3716
IBE_02_A,ibe3717,Buying Activity - Total Online Orders - Person,IBE3717,3717
IBE_02_A,ibe3718,Buying Activity - Online Average Dollar Amount Per Order - Person,IBE3718,3718
IBE_02_A,ibe3719,Buying Activity - Weeks Since Last Online Order - Person,IBE3719,3719
IBE_02_A,ibe3720,Buying Activity - Number of Orders - Electronics ,IBE3720,3720
IBE_02_A,ibe3721,Buying Activity - Weeks Since Last Order - Electronics ,IBE3721,3721
IBE_02_A,ibe3722,Buying Activity - Dollars - Electronics ,IBE3722,3722
IBE_02_A,ibe3723,Buying Activity - Electronics ,IBE3723,3723
IBE_02_A,ibe3724,Buying Activity - Number of Orders - Footwear,IBE3724,3724
IBE_02_A,ibe3725,Buying Activity - Weeks Since Last Order - Footwear,IBE3725,3725
IBE_02_A,ibe3726,Buying Activity - Dollars - Footwear ,IBE3726,3726
IBE_02_A,ibe3727,Buying Activity - Footwear,IBE3727,3727
IBE_02_A,ibe3728,Buying Activity - Number of Orders - Auto ,IBE3728,3728
IBE_02_A,ibe3729,Buying Activity - Weeks Since Last Order - Auto ,IBE3729,3729
IBE_02_A,ibe3730,Buying Activity - Dollars - Auto ,IBE3730,3730
IBE_02_A,ibe3731,Buying Activity - Auto ,IBE3731,3731
IBE_02_A,ibe3732,Buying Activity - Number of Orders - Warranty ,IBE3732,3732
IBE_02_A,ibe3733,Buying Activity - Weeks Since Last Order - Warranty ,IBE3733,3733
IBE_02_A,ibe3734,Buying Activity - Dollars - Warranty ,IBE3734,3734
IBE_02_A,ibe3735,Buying Activity - Warranty ,IBE3735,3735
IBE_02_A,ibe3736,Buying Activity - Number of Orders - Apparel Accessories ,IBE3736,3736
IBE_02_A,ibe3737,Buying Activity - Weeks Since Last Order - Apparel Accessories ,IBE3737,3737
IBE_02_A,ibe3738,Buying Activity - Dollars - Apparel Accessories ,IBE3738,3738
IBE_02_A,ibe3739,Buying Activity - Apparel Accessories ,IBE3739,3739
IBE_02_A,ibe3740,Buying Activity - Number of Orders – Humanitarian Aid/Donations ,IBE3740,3740
IBE_02_A,ibe3741,Buying Activity - Weeks Since Last Order - Humanitarian Aid/Donations ,IBE3741,3741
IBE_02_A,ibe3742,Buying Activity - Dollars - Humanitarian Aid/Donations ,IBE3742,3742
IBE_02_A,ibe3743,Buying Activity - Humanitarian Aid/Donations ,IBE3743,3743
IBE_02_A,ibe3744,Buying Activity - Number of Orders - Furniture ,IBE3744,3744
IBE_02_A,ibe3745,Buying Activity - Weeks Since Last Order - Furniture ,IBE3745,3745
IBE_02_A,ibe3746,Buying Activity - Dollars - Furniture ,IBE3746,3746
IBE_02_A,ibe3747,Buying Activity - Furniture ,IBE3747,3747
IBE_02_A,ibe3748,Buying Activity - Number of Orders – Outdoor Accessories/Furniture ,IBE3748,3748
